run,arm,kappa,alpha,beta,target,cascade,effects,novelty,G-base,G,posterior
1789952479,factorized-attempt-endpoint,0,1,1,M-expressions-of-interest,C2,2,0.3862943611198906,169.17413912903447,169.17413912903447,0.08339856112544948
1789952479,factorized-attempt-endpoint,0,1,1,M-dionysus-winddown,C0,0,0.0,170.56199895748486,170.56199895748486,0.0624510791559125
1789952479,factorized-attempt-endpoint,0,1,1,M-daily-scan,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-distributed-frontiermath,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-G-wm-wiring,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-f11-find-production-successor,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-kangaroo,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-chipwitz-corps,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-expressions-of-interest,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-wm-aif-policy-grain-compliance,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-canon-fingerprint-store,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-self-documenting-stack,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-apm-capability-ratchet,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-usage-hacking,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-futonzero-mvp,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-action-cost-modelling,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-aif4iad,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-federated-agency-hardening,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-futonzero-generative,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-aif-policy-conditioned-eig,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-futon-forward-model,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-wm-08-external-f2,C0,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,0,1,1,M-wm-08-external-f2,C1,0,0.0,170.56199895748486,170.56199895748486,0.020817026385304215
1789952479,factorized-attempt-endpoint,1,1,1,M-expressions-of-interest,C1,2,0.3862943611198906,169.17413912903447,168.78784476791458,0.4964728254813573
1789952479,factorized-attempt-endpoint,1,1,1,M-expressions-of-interest,C2,2,0.3862943611198906,169.17413912903447,168.78784476791458,0.09929456509627259
1789952479,factorized-attempt-endpoint,1,1,1,M-dionysus-winddown,C0,0,0.0,170.56199895748486,170.56199895748486,0.05052907617779625
1789952479,factorized-attempt-endpoint,1,1,1,M-daily-scan,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
1789952479,factorized-attempt-endpoint,1,1,1,M-distributed-frontiermath,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
1789952479,factorized-attempt-endpoint,1,1,1,M-G-wm-wiring,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
1789952479,factorized-attempt-endpoint,1,1,1,M-f11-find-production-successor,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
1789952479,factorized-attempt-endpoint,1,1,1,M-kangaroo,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
1789952479,factorized-attempt-endpoint,1,1,1,M-chipwitz-corps,C0,0,0.0,170.56199895748486,170.56199895748486,0.016843025392598788
