
================================================================================
TASK 3: MULTI-MISSION ROBUSTNESS — lambda=4, steps=3000
================================================================================

--- mission=M-self-documenting-stack ---
  Training: target=M-self-documenting-stack, lambda=4, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 525.1334 | Mean rewards: 3566.63 | JSD: -1.0000:   1%|▏         | 38/3000 [00:18<24:33,  2.01it/s]
Loss: 525.1334 | Mean rewards: 3566.63 | JSD: -1.0000:   1%|▏         | 39/3000 [00:18<24:13,  2.04it/s]
Loss: 524.7268 | Mean rewards: 1058.98 | JSD: -1.0000:   1%|▏         | 39/3000 [00:18<24:13,  2.04it/s]
Loss: 524.7268 | Mean rewards: 1058.98 | JSD: -1.0000:   1%|▏         | 40/3000 [00:19<22:49,  2.16it/s]
Loss: 523.7438 | Mean rewards: 785.40 | JSD: -1.0000:   1%|▏         | 40/3000 [00:19<22:49,  2.16it/s] 
Loss: 523.7438 | Mean rewards: 785.40 | JSD: -1.0000:   1%|▏         | 41/3000 [00:19<20:27,  2.41it/s]
Loss: 523.2711 | Mean rewards: 744.03 | JSD: -1.0000:   1%|▏         | 41/3000 [00:19<20:27,  2.41it/s]
Loss: 523.2711 | Mean rewards: 744.03 | JSD: -1.0000:   1%|▏         | 42/3000 [00:20<20:31,  2.40it/s]
Loss: 522.6147 | Mean rewards: 780.55 | JSD: -1.0000:   1%|▏         | 42/3000 [00:20<20:31,  2.40it/s]
Loss: 522.6147 | Mean rewards: 780.55 | JSD: -1.0000:   1%|▏         | 43/3000 [00:20<20:50,  2.36it/s]
