================================================================================
TASK 2: LAMBDA SWEEP — target=M-self-documenting-stack, steps=3000
================================================================================

--- lambda=1 ---
  Training: target=M-self-documenting-stack, lambda=1, steps=3000...
/home/joe/code/gflownet/.venv/lib/python3.12/site-packages/torch/_compile.py:32: UserWarning: optimizer contains a parameter group with duplicate parameters; in future, this will cause an error; see github.com/pytorch/pytorch/issues/40967 for more information
  return disable_fn(*args, **kwargs)
	Important: offline trajectories will NOT be sampled. In order to  sample offline trajectories, the train configuration of the buffer  should be provided.
	Important: test metrics will NOT be computed. In order to compute test metrics, the test configuration of the buffer should be provided.

  0%|          | 0/3000 [00:00<?, ?it/s]
Loss: 538.5514 | Mean rewards: 571.37 | JSD: -1.0000:   2%|▏         | 53/3000 [00:06<04:43, 10.40it/s]
Loss: 538.3749 | Mean rewards: 483.20 | JSD: -1.0000:   2%|▏         | 53/3000 [00:06<04:43, 10.40it/s]
Loss: 538.2813 | Mean rewards: 448.00 | JSD: -1.0000:   2%|▏         | 54/3000 [00:06<04:43, 10.40it/s]
Loss: 538.2813 | Mean rewards: 448.00 | JSD: -1.0000:   2%|▏         | 55/3000 [00:06<04:21, 11.27it/s]
Loss: 537.5732 | Mean rewards: 540.90 | JSD: -1.0000:   2%|▏         | 55/3000 [00:06<04:21, 11.27it/s]
Loss: 536.1244 | Mean rewards: 3227.73 | JSD: -1.0000:   2%|▏         | 56/3000 [00:06<04:21, 11.27it/s]
Loss: 536.1244 | Mean rewards: 3227.73 | JSD: -1.0000:   2%|▏         | 57/3000 [00:06<04:06, 11.92it/s]
Loss: 536.5230 | Mean rewards: 476.01 | JSD: -1.0000:   2%|▏         | 57/3000 [00:06<04:06, 11.92it/s] 
Loss: 536.6393 | Mean rewards: 198.63 | JSD: -1.0000:   2%|▏         | 58/3000 [00:07<04:06, 11.92it/s]
Loss: 536.6393 | Mean rewards: 198.63 | JSD: -1.0000:   2%|▏         | 59/3000 [00:07<04:53, 10.01it/s]
Loss: 536.2588 | Mean rewards: 281.65 | JSD: -1.0000:   2%|▏         | 59/3000 [00:07<04:53, 10.01it/s]
Loss: 536.7585 | Mean rewards: 370.73 | JSD: -1.0000:   2%|▏         | 60/3000 [00:07<04:53, 10.01it/s]
Loss: 536.7585 | Mean rewards: 370.73 | JSD: -1.0000:   2%|▏         | 61/3000 [00:07<04:49, 10.17it/s]
Loss: 536.0980 | Mean rewards: 880.64 | JSD: -1.0000:   2%|▏         | 61/3000 [00:07<04:49, 10.17it/s]
Loss: 536.4414 | Mean rewards: 121.65 | JSD: -1.0000:   2%|▏         | 62/3000 [00:07<04:49, 10.17it/s]
Loss: 536.4414 | Mean rewards: 121.65 | JSD: -1.0000:   2%|▏         | 63/3000 [00:07<04:43, 10.35it/s]
Loss: 536.3662 | Mean rewards: 206.11 | JSD: -1.0000:   2%|▏         | 63/3000 [00:07<04:43, 10.35it/s]
Loss: 535.8046 | Mean rewards: 288.90 | JSD: -1.0000:   2%|▏         | 64/3000 [00:07<04:43, 10.35it/s]
Loss: 535.8046 | Mean rewards: 288.90 | JSD: -1.0000:   2%|▏         | 65/3000 [00:07<05:22,  9.11it/s]
Loss: 534.6137 | Mean rewards: 1170.18 | JSD: -1.0000:   2%|▏         | 65/3000 [00:07<05:22,  9.11it/s]
Loss: 534.6137 | Mean rewards: 1170.18 | JSD: -1.0000:   2%|▏         | 66/3000 [00:08<05:40,  8.61it/s]
Loss: 534.0914 | Mean rewards: 765.70 | JSD: -1.0000:   2%|▏         | 66/3000 [00:08<05:40,  8.61it/s] 
Loss: 534.0914 | Mean rewards: 765.70 | JSD: -1.0000:   2%|▏         | 67/3000 [00:08<06:10,  7.91it/s]
Loss: 532.6050 | Mean rewards: 3361.63 | JSD: -1.0000:   2%|▏         | 67/3000 [00:08<06:10,  7.91it/s]
Loss: 532.6050 | Mean rewards: 3361.63 | JSD: -1.0000:   2%|▏         | 68/3000 [00:08<06:07,  7.99it/s]
Loss: 532.2579 | Mean rewards: 281.60 | JSD: -1.0000:   2%|▏         | 68/3000 [00:08<06:07,  7.99it/s] 
Loss: 532.2579 | Mean rewards: 281.60 | JSD: -1.0000:   2%|▏         | 69/3000 [00:08<06:54,  7.07it/s]
Loss: 532.2620 | Mean rewards: 757.37 | JSD: -1.0000:   2%|▏         | 69/3000 [00:08<06:54,  7.07it/s]
Loss: 532.2620 | Mean rewards: 757.37 | JSD: -1.0000:   2%|▏         | 70/3000 [00:09<12:25,  3.93it/s]
Loss: 532.3108 | Mean rewards: 410.72 | JSD: -1.0000:   2%|▏         | 70/3000 [00:09<12:25,  3.93it/s]
Loss: 532.3108 | Mean rewards: 410.72 | JSD: -1.0000:   2%|▏         | 71/3000 [00:09<11:50,  4.12it/s]
Loss: 532.0638 | Mean rewards: 209.34 | JSD: -1.0000:   2%|▏         | 71/3000 [00:09<11:50,  4.12it/s]
Loss: 532.0638 | Mean rewards: 209.34 | JSD: -1.0000:   2%|▏         | 72/3000 [00:09<11:45,  4.15it/s]
Loss: 531.3769 | Mean rewards: 1372.08 | JSD: -1.0000:   2%|▏         | 72/3000 [00:09<11:45,  4.15it/s]
Loss: 531.3769 | Mean rewards: 1372.08 | JSD: -1.0000:   2%|▏         | 73/3000 [00:09<10:19,  4.72it/s]
Loss: 531.4034 | Mean rewards: 131.34 | JSD: -1.0000:   2%|▏         | 73/3000 [00:09<10:19,  4.72it/s] 
Loss: 531.4034 | Mean rewards: 131.34 | JSD: -1.0000:   2%|▏         | 74/3000 [00:09<09:07,  5.35it/s]
Loss: 530.8025 | Mean rewards: 572.92 | JSD: -1.0000:   2%|▏         | 74/3000 [00:09<09:07,  5.35it/s]
Loss: 530.8025 | Mean rewards: 572.92 | JSD: -1.0000:   2%|▎         | 75/3000 [00:09<08:42,  5.60it/s]
Loss: 530.6613 | Mean rewards: 420.04 | JSD: -1.0000:   2%|▎         | 75/3000 [00:09<08:42,  5.60it/s]
Loss: 530.6613 | Mean rewards: 420.04 | JSD: -1.0000:   3%|▎         | 76/3000 [00:10<08:17,  5.88it/s]
