candidate	channel	decimal90	binary64
7	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	depositing-signal	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	loop-health	-1.38364061116992292656927244290735756453842954818865023879111257578521680263769649157075554	-1.3836406111699229
8	mathematics-pct	-1.38364655978327130509582833164297493907870015088159952661468154158222206475194381824890844	-1.3836465597832712
8	mission-health	-1.17600082370577866926917052569656985585268015375903698280041261667233372585870758169329334	-1.1760008237057786
8	portfolio-pct	-1.38364655976496642489535073931818742750965110826170501296686755424806495964761725063658750	-1.3836465597649665
8	sorry-count-norm	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	stack-pct	-1.38364655973445829123329657874954947319042701646883615644862902057111362118729037038666720	-1.3836465597344583
8	support-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
8	ticks-firing-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
9	active-repo-ratio	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
9	annotation-health	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
9	attack-coverage	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
9	consulting-pct	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
9	coupling-density	-1.38364655978937293182932086241790410960171649842156436449728620402694109978671934078634874	-1.383646559789373
